Испытание; 
43,8;-110
43,8;-110
43,7;-109
43,6;-110
43,5;-110
43,4;-110
43,3;-109
43,3;-110
43,2;-109
43,1;-110
43,1;-110
43,0;-110
42,9;-110
42,9;-110
42,8;-110
42,7;-109
42,6;-110
42,6;-110
42,4;-110
42,4;-109
42,3;-110
42,2;-110
42,2;-110
42,1;-110
42,0;-110
41,9;-109
41,7;-109
41,6;-109
41,6;-109
41,5;-109
41,4;-109
41,4;-109
41,3;-109
41,2;-109
41,1;-108
41,1;-109
41,0;-109
40,9;-108
40,9;-108
40,8;-108
40,7;-108
40,7;-108
40,6;-108
40,6;-107
40,5;-108
40,4;-107
40,4;-107
40,3;-107
40,2;-106
40,1;-107
40,1;-107
39,9;-107
39,9;-107
39,8;-106
39,7;-106
39,7;-105
39,6;-105
39,6;-105
39,5;-105
39,4;-105
39,4;-105
39,2;-104
39,2;-104
39,1;-104
39,1;-104
38,9;-104
38,9;-104
38,8;-104
38,7;-104
38,6;-104
38,5;-104
38,4;-103
38,3;-102
38,2;-102
38,1;-102
38,0;-103
37,9;-103
37,9;-102
37,8;-102
37,8;-102
37,7;-102
37,6;-102
37,5;-101
37,5;-102
37,3;-101
37,3;-101
37,1;-100
37,1;-100
37,0;-100
37,0;-100
36,9;-100
36,8;-100
36,8;-99
36,7;-99
36,6;-99
36,5;-98
36,5;-98
36,4;-98
36,4;-98
36,3;-98
36,2;-97
36,2;-97
36,1;-96
36,1;-96
36,0;-95
35,9;-95
35,9;-95
35,8;-95
35,7;-95
35,6;-95
35,6;-95
35,5;-94
35,5;-94
35,4;-93
35,3;-93
35,3;-94
35,2;-93
35,2;-93
35,1;-93
35,0;-92
35,0;-92
34,9;-92
34,8;-91
34,7;-91
34,7;-91
34,6;-90
34,5;-89
34,5;-90
34,4;-90
34,3;-89
34,2;-88
34,2;-88
34,1;-87
34,0;-88
34,0;-87
33,9;-87
33,9;-87
33,8;-87
33,8;-86
33,7;-86
33,6;-86
33,6;-86
33,5;-86
33,4;-85
33,4;-85
33,3;-85
33,2;-84
33,2;-83
33,1;-84
33,1;-83
33,0;-83
32,9;-83
32,8;-82
32,7;-81
32,7;-81
32,6;-81
32,5;-81
32,4;-80
32,4;-80
32,3;-79
32,2;-78
32,2;-78
32,1;-79
32,0;-78
32,0;-78
31,9;-77
31,8;-76
31,7;-76
31,7;-76
31,6;-76
31,5;-75
31,4;-75
31,4;-74
31,3;-73
31,3;-73
31,2;-73
31,2;-73
31,1;-72
31,0;-72
30,9;-72
30,9;-72
30,8;-71
30,8;-71
30,7;-70
30,6;-70
30,6;-70
30,5;-70
30,5;-70
30,4;-69
30,4;-69
30,3;-68
30,2;-68
30,2;-68
30,1;-66
30,0;-66
29,9;-66
29,9;-66
29,8;-65
29,7;-65
29,7;-64
29,6;-64
29,5;-63
29,5;-63
29,4;-63
29,3;-61
29,2;-61
29,0;-60
29,0;-61
28,9;-60
28,9;-60
28,8;-59
28,8;-59
28,7;-59
28,6;-58
28,5;-58
28,4;-56
28,3;-56
28,3;-56
28,2;-55
28,2;-55
28,1;-54
28,0;-54
28,0;-54
27,9;-53
27,8;-51
27,7;-51
27,7;-51
27,6;-50
27,5;-50
27,5;-49
27,4;-48
27,4;-48
27,3;-48
27,3;-48
27,2;-48
27,2;-47
27,1;-46
27,1;-46
27,0;-47
27,0;-46
26,9;-45
26,9;-45
26,9;-45
26,8;-44
26,7;-44
26,6;-43
26,6;-42
26,5;-42
26,4;-41
26,4;-41
26,4;-41
26,3;-40
26,3;-40
26,2;-40
26,2;-39
26,1;-39
26,1;-38
26,0;-37
26,0;-37
25,9;-37
25,9;-37
25,8;-37
25,8;-36
25,7;-35
25,7;-35
25,6;-35
25,6;-34
25,6;-34
25,5;-34
25,4;-33
25,4;-32
25,3;-32
25,3;-31
25,3;-32
25,2;-31
25,2;-30
25,1;-30
25,1;-30
25,1;-29
25,0;-29
24,9;-29
24,799999999999997;-28
24,799999999999997;-27
24,799999999999997;-26
24,700000000000003;-27
24,700000000000003;-26
24,6;-25
24,6;-25
24,5;-24
24,4;-23
24,4;-23
24,299999999999997;-21
24,299999999999997;-21
24,200000000000003;-21
24,1;-20
24,1;-20
24,1;-20
24,0;-19
24,0;-19
23,9;-18
23,9;-18
23,799999999999997;-17
23,799999999999997;-17
23,799999999999997;-16
23,700000000000003;-17
23,700000000000003;-16
23,6;-16
23,6;-15
23,5;-14
23,5;-13
23,4;-13
23,4;-12
23,299999999999997;-12
23,299999999999997;-11
23,299999999999997;-11
23,200000000000003;-10
23,1;-9
23,1;-9
23,1;-8
23,0;-8
23,0;-7
23,0;-7
22,9;-7
22,9;-6
22,9;-5
22,799999999999997;-5
22,700000000000003;-3
22,700000000000003;-3
22,700000000000003;-3
22,6;-2
22,5;-1
22,5;0
22,4;0
22,4;1
22,4;1
22,299999999999997;1
22,299999999999997;2
22,200000000000003;3
22,200000000000003;4
22,1;5
22,1;6
22,1;6
22,0;7
22,0;8
22,0;8
21,9;8
21,9;8
21,799999999999997;10
21,799999999999997;10
21,799999999999997;11
21,700000000000003;12
21,6;13
21,6;13
21,6;14
21,6;15
21,5;16
21,5;16
21,4;17
21,4;17
21,4;18
21,4;18
21,299999999999997;20
21,299999999999997;20
21,299999999999997;20
21,200000000000003;21
21,200000000000003;22
21,200000000000003;22
21,1;23
21,1;24
21,1;24
21,0;25
21,0;26
21,0;27
20,9;28
20,9;28
20,9;29
20,9;29
20,799999999999997;30
20,799999999999997;32
20,700000000000003;32
20,700000000000003;34
20,700000000000003;34
20,6;35
20,6;36
20,6;37
20,5;38
20,5;38
20,5;39
20,4;40
20,4;41
20,4;42
20,4;43
20,299999999999997;44
20,299999999999997;45
20,299999999999997;45
20,299999999999997;46
20,200000000000003;47
20,200000000000003;48
20,200000000000003;49
20,1;49
20,1;51
20,1;52
20,1;53
20,0;53
20,0;54
20,0;55
20,0;55
20,0;56
19,9;58
19,9;58
19,9;59
19,9;60
19,9;61
19,799999999999997;61
19,799999999999997;62
19,799999999999997;63
19,799999999999997;63
19,799999999999997;64
19,799999999999997;65
19,799999999999997;66
19,700000000000003;67
19,700000000000003;68
19,700000000000003;70
19,700000000000003;70
19,700000000000003;71
19,6;72
19,6;73
19,6;74
19,6;75
19,6;76
19,6;78
19,5;79
19,5;79
19,5;80
19,5;82
19,5;83
19,5;84
19,5;85
19,4;86
19,4;88
19,4;88
19,4;89
19,4;90
19,4;91
19,4;92
19,4;93
19,4;94
19,299999999999997;95
19,299999999999997;97
19,299999999999997;98
19,299999999999997;99
19,299999999999997;100
19,299999999999997;101
19,299999999999997;102
19,299999999999997;104
19,299999999999997;107
19,200000000000003;109
19,200000000000003;110
19,200000000000003;111
19,200000000000003;112
19,200000000000003;113
19,200000000000003;114
19,200000000000003;117
19,200000000000003;118
19,200000000000003;118
19,200000000000003;119
19,200000000000003;120
19,200000000000003;121
19,200000000000003;122
19,200000000000003;123
19,200000000000003;123
19,200000000000003;124
19,200000000000003;125
19,1;127
19,1;129
19,1;130
19,1;130
19,1;132
19,1;133
19,1;134
19,1;136
19,1;139
19,1;139
19,1;142
19,1;143
19,1;144
19,1;145
19,1;146
19,1;146
19,1;148
19,1;149
19,1;150
19,1;151
19,1;152
19,1;153
19,1;153
19,1;155
19,1;156
19,1;157
19,1;159
19,1;160
19,1;160
19,1;161
19,1;162
19,1;163
19,1;164
19,1;166
19,1;167
19,1;168
19,1;168
19,1;168
19,1;170
19,1;170
19,1;170
19,1;171
19,1;172
19,200000000000003;171
19,200000000000003;173
19,200000000000003;174
19,200000000000003;174
19,200000000000003;174
19,200000000000003;175
19,200000000000003;176
19,200000000000003;177
19,200000000000003;176
19,200000000000003;178
19,200000000000003;178
19,200000000000003;179
19,200000000000003;180
19,200000000000003;181
19,200000000000003;182
19,299999999999997;182
19,299999999999997;184
19,299999999999997;185
19,299999999999997;186
19,299999999999997;186
19,299999999999997;188
19,299999999999997;188
19,299999999999997;189
19,299999999999997;191
19,299999999999997;191
19,4;192
19,4;193
19,4;193
19,4;194
19,4;194
19,4;196
19,4;196
19,5;196
19,5;198
19,5;198
19,5;198
19,5;199
19,5;199
19,5;200
19,6;201
19,6;201
19,6;202
19,6;203
19,6;203
19,6;204
19,6;206
19,6;206
19,700000000000003;206
19,700000000000003;206
19,700000000000003;207
19,700000000000003;206
19,700000000000003;206
19,700000000000003;206
19,799999999999997;210
19,799999999999997;212
19,799999999999997;212
19,799999999999997;213
19,799999999999997;214
19,799999999999997;215
19,799999999999997;217
19,9;217
19,9;219
19,9;220
19,9;221
19,9;223
19,9;224
20,0;225
20,0;227
20,0;229
20,0;232
20,1;235
20,1;238
20,1;241
20,1;243
20,200000000000003;244
20,200000000000003;247
20,200000000000003;248
20,200000000000003;251
20,299999999999997;256
20,299999999999997;258
20,299999999999997;260
20,299999999999997;263
20,299999999999997;266
20,4;269
20,4;272
20,4;277
20,4;282
20,5;284
20,5;287
20,5;291
20,5;294
20,6;300
20,6;304
20,6;307
20,6;311
20,6;315
20,700000000000003;318
20,700000000000003;321
20,700000000000003;325
20,700000000000003;329
20,799999999999997;336
20,799999999999997;339
20,799999999999997;342
20,799999999999997;346
20,9;349
20,9;355
20,9;359
21,0;362
21,0;365
21,0;369
21,0;374
21,1;377
21,1;381
21,1;385
21,1;389
21,200000000000003;397
21,200000000000003;400
21,200000000000003;404
21,200000000000003;408
21,299999999999997;412
21,299999999999997;415
21,299999999999997;418
21,299999999999997;422
21,4;428
21,4;431
21,4;434
21,5;437
21,5;439
21,5;442
21,6;447
21,6;449
21,6;452
21,700000000000003;454
21,700000000000003;456
21,700000000000003;458
21,799999999999997;460
21,799999999999997;462
21,799999999999997;463
21,799999999999997;465
21,9;468
22,0;470
22,0;473
22,0;474
22,1;475
22,1;476
22,200000000000003;478
22,200000000000003;479
22,200000000000003;480
22,299999999999997;480
22,299999999999997;481
22,299999999999997;482
22,4;483
22,4;483
22,4;484
22,5;484
22,5;485
22,5;485
22,6;486
22,6;486
22,6;487
22,700000000000003;488
22,700000000000003;488
22,700000000000003;488
22,799999999999997;489
22,799999999999997;489
22,799999999999997;490
22,9;491
22,9;491
23,0;492
23,0;492
23,0;492
23,1;493
23,1;493
23,1;494
23,200000000000003;494
23,200000000000003;495
23,299999999999997;495
23,299999999999997;496
23,4;496
23,4;497
23,4;497
23,5;498
23,5;499
23,6;500
23,700000000000003;500
23,700000000000003;500
23,799999999999997;501
23,799999999999997;501
23,9;501
23,9;502
24,0;503
24,0;503
24,1;504
24,1;504
24,200000000000003;505
24,200000000000003;505
24,200000000000003;505
24,299999999999997;506
24,299999999999997;506
24,4;507
24,5;507
24,5;508
24,6;508
24,6;509
24,700000000000003;509
24,799999999999997;510
24,799999999999997;510
24,799999999999997;510
24,9;511
24,9;511
25,0;511
25,1;513
25,1;512
25,1;512
25,2;513
25,2;513
25,3;514
25,3;514
25,4;514
25,4;515
25,5;515
25,5;516
25,6;516
25,6;516
25,7;517
25,7;517
25,8;518
25,9;518
25,9;518
26,0;519
26,0;519
26,1;520
26,1;520
26,2;521
26,2;521
26,3;521
26,4;522
26,5;522
26,5;523
26,5;523
26,6;523
26,6;524
26,7;524
26,8;525
26,8;525
26,9;525
27,0;526
27,0;527
27,1;526
27,2;527
27,2;528
27,3;528
27,3;528
27,3;529
27,4;529
27,4;529
27,5;529
27,5;530
27,6;530
27,6;530
27,7;531
27,7;531
27,8;531
27,9;532
27,9;532
28,0;532
28,1;533
28,1;534
28,2;534
28,2;534
28,3;534
28,3;535
28,4;535
28,4;535
28,5;535
28,5;535
28,6;535
28,6;535
28,7;536
28,8;537
28,8;537
28,9;537
28,9;537
29,0;537
29,0;537
29,1;538
29,1;538
29,2;538
29,3;538
29,3;539
29,4;538
29,4;539
29,5;539
29,5;540
29,6;540
29,6;540
29,7;540
29,7;541
29,8;541
29,9;542
30,0;542
30,1;543
30,1;543
30,2;544
30,3;544
30,3;544
30,4;544
30,4;544
30,5;545
30,5;545
30,6;545
30,6;545
30,7;546
30,8;546
30,8;546
30,9;546
31,0;547
31,0;546
31,1;547
31,1;547
31,2;548
31,2;547
31,3;548
31,3;548
31,4;548
31,4;548
31,5;549
31,6;549
31,6;549
31,7;550
31,7;550
31,8;550
31,8;551
31,9;550
32,0;551
32,0;551
32,1;551
32,1;551
32,2;552
32,2;552
32,3;552
32,3;552
32,4;552
32,5;553
32,5;553
32,6;553
32,6;553
32,7;554
32,8;554
32,9;554
32,9;554
33,0;554
33,0;554
33,1;554
33,1;554
33,2;554
33,3;554
33,3;555
33,4;555
33,4;555
33,5;555
33,6;555
33,7;556
33,7;556
33,8;557
33,8;556
33,9;557
34,0;557
34,0;557
34,1;558
34,2;558
34,2;558
34,3;558
34,4;558
34,5;559
34,5;559
34,6;560
34,7;560
34,7;560
34,8;560
34,8;560
34,9;561
35,0;560
35,0;561
35,1;561
35,1;562
35,2;561
35,3;562
35,4;562
35,4;562
35,5;563
35,6;562
35,7;563
35,8;563
35,9;564
35,9;563
36,0;564
36,2;563
36,2;563
36,3;564
36,5;564
36,6;564
36,6;564
36,7;564
36,8;564
36,9;565
36,9;565
37,0;565
37,1;565
37,2;564
37,3;565
37,3;565
37,4;566
37,5;565
37,6;565
37,7;566
37,7;565
37,9;566
38,0;567
38,1;566
38,1;567
38,2;567
38,3;567
38,4;567
38,5;567
38,6;567
38,7;568
38,7;568
38,9;568
38,9;568
39,0;568
39,0;568
39,1;568
39,2;568
39,2;568
39,4;568
39,5;568
39,5;569
39,7;569
39,7;569
39,8;569
39,9;569
39,9;569
40,0;569
40,1;569
40,2;570
40,4;570
40,4;570
40,5;569
40,5;570
40,7;570
40,8;570
40,9;570
40,9;570
41,0;570
41,1;570
41,2;570
41,2;570
41,3;570
41,4;570
41,4;569
41,5;569
41,6;569
41,7;569
41,8;569
41,9;569
41,9;569
42,0;569
42,1;569
42,2;569
42,2;569
42,3;570
42,4;570
42,4;570
42,5;571
42,6;571
42,6;571
42,7;571
42,7;571
42,9;570
42,9;571
43,0;571
43,1;571
43,1;571
43,2;571
43,3;571
43,4;571
43,4;571
43,5;570
43,6;570
43,6;570
43,8;570
43,8;570
43,9;570
43,9;570
44,1;570
44,1;570
44,3;569
44,4;570
44,4;570
44,5;570
44,6;570
44,7;570
44,8;570
44,9;569
45,0;569
45,1;568
45,2;569
45,3;569
45,3;569
45,4;569
45,5;569
45,5;569
45,6;569
45,7;569
45,8;568
46,0;568
46,0;568
46,1;568
46,1;568
46,2;568
46,3;567
46,3;567
46,4;567
46,5;566
46,6;566
46,6;566
46,7;566
46,8;566
46,8;566
46,9;566
47,0;566
47,1;566
47,2;565
47,3;566
47,3;566
47,4;565
47,5;566
47,6;566
47,7;566
47,8;565
47,8;565
48,0;565
48,0;565
48,1;565
48,1;565
48,2;565
48,3;565
48,3;565
48,4;564
48,5;564
48,6;564
48,7;563
48,8;563
48,8;563
48,9;563
49,0;562
49,1;562
49,2;560
49,4;560
49,4;560
49,5;559
49,6;559
49,7;558
49,7;558
49,8;559
49,9;559
49,9;559
50,0;558
50,0;558
50,2;558
50,2;557
50,3;557
50,3;557
50,4;557
50,5;556
50,5;556
50,6;555
50,6;555
50,7;556
50,8;555
50,8;554
50,9;554
51,1;554
51,1;554
51,2;554
51,3;554
51,4;554
51,4;553
51,5;553
51,5;553
51,6;552
51,7;552
51,7;551
51,8;551
51,9;552
52,0;552
52,0;551
52,1;550
52,2;551
52,3;549
52,4;549
52,4;549
52,5;550
52,6;550
52,7;549
52,7;548
52,8;548
52,8;548
52,9;547
53,0;547
53,0;547
53,1;547
53,2;546
53,3;546
53,3;546
53,4;545
53,4;545
53,5;544
53,5;545
53,6;543
53,7;543
53,7;543
53,8;543
53,8;542
53,9;542
53,9;541
54,0;542
54,1;541
54,1;541
54,2;540
54,2;540
54,3;540
54,3;539
54,4;539
54,5;539
54,5;538
54,6;538
54,6;538
54,7;536
54,8;536
54,9;536
54,9;536
55,0;535
55,0;534
55,1;535
55,1;534
55,2;533
55,3;533
55,4;533
55,4;533
55,5;532
55,6;531
55,6;531
55,7;531
55,8;531
55,9;531
56,0;530
56,1;529
56,1;529
56,2;528
56,2;528
56,3;528
56,3;528
56,5;527
56,5;527
56,6;526
56,6;525
56,7;526
56,7;525
56,8;525
56,8;525
56,9;524
57,0;524
57,0;523
57,1;524
57,2;523
57,2;522
57,3;522
57,3;522
57,4;521
57,4;521
57,5;519
57,6;520
57,6;520
57,7;519
57,8;519
57,9;518
58,0;517
58,0;517
58,1;516
58,1;516
58,2;515
58,2;516
58,3;515
58,3;515
58,4;514
58,5;514
58,5;513
58,6;513
58,7;513
58,8;513
58,8;512
58,9;511
59,0;511
59,1;511
59,1;511
59,2;511
59,2;510
59,3;509
59,4;508
59,4;508
59,4;508
59,5;507
59,6;507
59,6;507
59,7;506
59,8;506
59,8;505
59,9;505
59,9;505
60,0;504
60,1;504
60,1;503
60,2;503
60,2;503
60,3;502
60,4;502
60,4;502
60,5;501
60,5;501
60,6;501
60,6;501
60,7;500
60,8;498
60,8;498
60,9;498
61,0;497
61,0;497
61,1;497
61,2;495
61,2;496
61,3;495
61,4;494
61,5;494
61,5;493
61,6;493
61,7;492
61,7;491
61,8;492
61,8;490
61,9;490
61,9;490
62,0;489
62,0;489
62,0;488
62,1;488
62,1;488
62,2;488
62,3;487
62,3;486
62,3;486
62,4;486
62,4;486
62,5;486
62,6;485
62,6;485
62,6;484
62,7;484
62,7;484
62,8;483
62,8;483
62,9;482
62,9;482
63,0;481
63,1;481
63,1;480
63,2;480
63,3;479
63,3;479
63,3;479
63,4;478
63,4;477
63,5;477
63,5;477
63,6;476
63,6;476
63,7;475
63,7;475
63,7;474
63,8;474
63,8;474
63,8;473
63,9;473
63,9;473
64,0;472
64,0;472
64,1;471
64,1;470
64,1;470
64,2;470
64,3;468
64,3;469
64,4;468
64,4;468
64,4;467
64,5;467
64,6;466
64,6;466
64,7;465
64,7;465
64,7;464
64,8;463
64,8;463
64,9;463
64,9;462
65,0;461
65,0;461
65,1;460
65,1;460
65,2;459
65,2;459
65,3;458
65,3;458
65,4;457
65,4;457
65,4;457
65,5;456
65,5;455
65,5;455
65,6;454
65,6;454
65,6;454
65,7;453
65,7;452
65,8;451
65,8;452
65,8;451
65,9;451
65,9;451
66,0;450
66,0;449
66,1;449
66,1;448
66,1;448
66,1;447
66,2;446
66,2;446
66,3;445
66,3;445
66,3;444
66,4;443
66,4;443
66,4;443
66,4;442
66,5;442
66,5;441
66,6;440
66,6;440
66,6;440
66,6;439
66,7;438
66,7;437
66,8;436
66,8;436
66,8;435
66,9;435
66,9;434
66,9;434
67,0;433
67,0;433
67,0;432
67,1;431
67,1;431
67,1;430
67,1;430
67,2;429
67,2;428
67,2;428
67,3;427
67,3;427
67,3;426
67,3;425
67,4;425
67,4;425
67,4;424
67,5;423
67,5;423
67,5;421
67,6;421
67,6;421
67,6;420
67,6;419
67,7;419
67,7;418
67,7;418
67,7;417
67,8;416
67,8;415
67,8;415
67,9;414
67,9;413
67,9;413
67,9;412
68,0;411
68,0;411
68,0;410
68,0;409
68,1;408
68,1;408
68,1;406
68,1;406
68,2;405
68,2;405
68,2;404
68,2;403
68,3;402
68,3;401
68,3;399
68,3;399
68,4;398
68,4;397
68,4;397
68,4;396
68,4;396
68,4;395
68,5;394
68,5;393
68,5;393
68,5;392
68,5;391
68,6;390
68,6;390
68,6;389
68,6;389
68,6;388
68,6;387
68,7;386
68,7;385
68,7;385
68,7;384
68,7;384
68,7;383
68,8;381
68,8;381
68,8;379
68,8;379
68,8;378
68,8;378
68,8;377
68,8;376
68,9;375
68,9;374
68,9;374
68,9;373
68,9;371
68,9;371
68,9;369
69,0;368
69,0;368
69,0;367
69,0;366
69,0;365
69,0;364
69,0;363
69,0;362
69,1;360
69,1;359
69,1;358
69,1;357
69,1;356
69,1;354
69,1;353
69,1;351
69,2;349
69,2;347
69,2;346
69,2;345
69,2;344
69,2;342
69,2;339
69,3;337
69,3;336
69,3;334
69,3;333
69,3;332
69,3;330
69,3;329
69,3;328
69,3;325
69,3;324
69,3;322
69,3;318
69,3;316
69,3;316
69,4;314
69,4;313
69,4;309
69,4;308
69,4;306
69,4;305
69,4;303
69,4;302
69,4;301
69,4;300
69,4;296
69,4;294
69,4;293
69,4;291
69,4;288
69,4;286
69,4;284
69,4;283
69,4;281
69,4;280
69,4;279
69,4;277
69,4;276
69,4;274
69,4;273
69,4;271
69,4;269
69,4;268
69,4;265
69,4;261
69,4;258
69,4;258
69,4;256
69,4;254
69,4;254
69,4;252
69,4;250
69,4;249
69,4;248
69,4;246
69,4;246
69,4;244
69,4;242
69,4;240
69,4;238
69,4;237
69,4;236
69,3;235
69,3;233
69,3;230
69,3;228
69,3;227
69,3;226
69,3;224
69,3;223
69,3;222
69,3;221
69,3;221
69,3;220
69,3;220
69,3;220
69,3;219
69,3;219
69,3;218
69,3;217
69,3;217
69,3;215
69,3;213
69,3;210
69,3;209
69,2;207
69,2;207
69,2;205
69,2;204
69,2;202
69,2;201
69,2;201
69,2;200
69,2;198
69,1;196
69,1;195
69,1;194
69,1;194
69,1;193
69,1;192
69,1;192
69,1;191
69,1;190
69,0;189
69,0;189
69,0;187
69,0;186
69,0;185
69,0;184
69,0;184
69,0;183
68,9;182
68,9;182
68,9;182
68,9;179
68,9;179
68,9;178
68,8;177
68,8;176
68,8;176
68,8;175
68,8;173
68,8;173
68,8;172
68,7;171
68,7;170
68,7;169
68,7;168
68,7;167
68,7;167
68,6;165
68,6;165
68,6;164
68,6;163
68,6;161
68,5;159
68,5;158
68,5;157
68,5;155
68,5;154
68,5;153
68,4;150
68,4;147
68,4;144
68,3;142
68,3;141
68,3;138
68,3;137
68,2;134
68,2;132
68,2;129
68,2;126
68,2;124
68,1;122
68,1;119
68,1;118
68,1;115
68,0;111
68,0;109
68,0;107
68,0;104
68,0;102
67,9;100
67,9;98
